Inter Failure time,Cumulative Failure time
1,5.5
2,7.33
3,10.08
4,80.97
5,84.91
6,99.89
7,103.36
8,113.32
9,124.71
10,144.59
11,152.4
12,166.99
13,178.41
14,197.35
15,262.69
16,262.69
17,388.36
18,471.05
19,471.5
20,503.11
21,632.42
22,680.02
1,9
2,14
3,21
4,28
5,53
6,56
7,58
8,63
9,70
10,75
11,76
12,76
13,77
1,90
2,107
3,126
4,145
5,171
6,188
7,189
8,190
9,190
10,190
11,192
12,192
13,192
14,192
15,203
16,203
17,204
1,15
2,35
3,60
4,74
5,94
6,102
7,114
8,134
9,139
10,141
11,148
12,149
13,157
14,173
15,179
16,182
17,184
18,185
19,187
20,191
21,192
1,1
2,1
3,2
4,3
5,5
6,5
7,5
8,8
9,9
10,11
11,13
12,15
13,19
14,19
15,22
16,22
17,23
18,24
19,24
20,24
21,26
